Sr No.,Model,Colour,Memory,RAM,Battery_,Rear Camera,Front Camera,AI Lens,Mobile Height,Processor_,Prize
110,Infinix Note 12 Pro 5G,Snowfall,128,8,5000,108MP,16MP,0,17.02,Mediatek Dimensity 810 5G,"15,999"
111,POCO X5 5G,Supernova Green,128,6,5000,48MP,13MP,0,16.94,Qualcomm Snapdragon 695,"15,999"
112,SAMSUNG Galaxy F14 5G,GOAT Green,128,4,6000,50MP,13MP,0,16.76,"Exynos 1330, Octa Core ","13,490"
113,SAMSUNG Galaxy F23 5G,Aqua Blue,128,6,5000,50MP,8MP,0,16.76,Qualcomm Snapdragon 750G,"16,999"
114,REDMI 10,Pacific Blue,128,6,6000,50MP,5MP,0,17.02,Qualcomm Snapdragon 680,"10,999"
115,SAMSUNG Galaxy F14 5G,OMG Black,128,4,6000,50MP,13MP,0,16.76,"Exynos 1330, Octa Core ","13,490"
116,micromax,OMG Black,128,4,1000,0MP,0MP,0,4.5,SC6531E,"1,422"
117,MOTOROLA Edge 40,Eclipse Black,256,8,4400,50MP,32MP,0,16.64,Dimensity 8020,"29,999"
118,micromax 1,Eclipse Black,256,8,800,0MP,0MP,0,4.5,SC6531E,"1,299"
119,POCO M4 5G,Yellow,64,4,5000,50MP,8MP,0,16.71,Mediatek Dimensity 700,"11,999"
120,POCO M4 5G,Yellow,128,6,5000,50MP,8MP,0,16.71,Mediatek Dimensity 700,"13,999"
121,REDMI 10,Midnight Black,64,4,6000,50MP,5MP,0,17.02,Qualcomm Snapdragon 680,"9,499"
122,Infinix Smart 7 HD,Ink Black,64,2,5000,8MP,5MP,1,16.76,Spreadtrum SC9863A1,"6,199"
123,Infinix Smart 7 HD,Silk Blue,64,2,5000,8MP,5MP,1,16.76,Spreadtrum SC9863A1,"6,199"
124,Infinix Smart 7 HD,Jade White,64,2,5000,8MP,5MP,1,16.76,Spreadtrum SC9863A1,"6,199"
125,realme Narzo 30,Racing Silver,128,6,5000,48MP,16MP,0,16.51,MediaTek Helio G95,"12,499"
126,Infinix NOTE 12i,Alpine White,64,4,5000,50MP,8MP,0,17.02,Mediatek Helio G85,"9,999"
127,POCO X5 5G,Jaguar Black,256,8,5000,48MP,13MP,0,16.94,Qualcomm Snapdragon 695,"17,999"
128,realme 10,Rush Black,64,4,5000,50MP,16MP,0,16.26,Mediatek Helio G99 Octa Core,"12,499"
129,realme 8i,Space Black,64,4,5000,50MP,16MP,0,16.76,MediaTek Helio G96,"11,499"
130,SAMSUNG Galaxy F14 5G,OMG Black,128,6,6000,50MP,13MP,0,16.76,"Exynos 1330, Octa Core ","14,490"
131,REDMI A1+,Light Green,32,2,5000,8MP,5MP,0,16.56,Mediatek Helio A22,"6,299"
132,SAMSUNG Galaxy F14 5G,OMG Black,128,6,6000,50MP,13MP,0,16.76,"Exynos 1330, Octa Core ","14,490"
133,Micromax 3,OMG Black,128,4,1020,2MP,0MP,0,6.1,MediaTek,"2,615"
134,realme Narzo 30,Racing Blue,128,6,5000,48MP,16MP,0,16.51,MediaTek Helio G95,"12,499"
135,Google Pixel 6a,Chalk,128,6,4410,12MP,8MP,0,15.6,Google Tensor,"28,999"
136,Google Pixel 6a,Charcoal,128,6,4410,12MP,8MP,0,15.6,Google Tensor,"28,999"
137,REDMI A1+,Black,32,2,5000,8MP,5MP,0,16.56,Mediatek Helio A22,"6,299"
138,Infinix HOT 20 5G,Blaster Green,64,4,5000,50MP,8MP,1,16.76,Dimensity 810,"11,499"
139,Infinix NOTE 12i,Metaverse Blue,64,4,5000,50MP,8MP,0,17.02,Mediatek Helio G85,"9,999"
